round,total_adversarial_episodes,total_ego_episodes,adv_episodes,adv_avg_reward,adv_crash_rate,adv_agents_crash_rate,adv_adv_collision_rate,adv_ego_collision_rate,adv_other_collision_rate,adv_recovery_rate,adv_road_completion_rate,adv_road_completion_rate_full,ego_episodes,ego_avg_reward,ego_crash_rate,ego_agents_crash_rate,ego_adv_adv_collision_rate,ego_adv_ego_collision_rate,ego_adv_other_collision_rate,ego_adv_recovery_rate,ego_road_completion_rate,ego_road_completion_rate_full,ego_route_completion_distance,ego_route_length,ego_avg_speed
25,5356,10741,200,338.8403906125472,0.19,0.21,0.025,0.19,0.0,0.025,0.41476445212424884,0.41061680760300645,500,112.40412932454355,0.03,0.03,0.0,0.03,0.0,0.0,0.6214510159112515,0.6152365057521391,198.00000000000003,200.0,14.47414572072466
26,5556,11241,200,237.97009911397888,0.09,0.155,0.065,0.09,0.0,0.06,0.5502284039330485,0.5447261198937181,500,56.771657110912976,0.146,0.15,0.004,0.146,0.0,0.004,0.39406117949058245,0.39012056769567666,198.00000000000003,200.0,8.446981538712649
27,5756,11765,200,322.40833072989113,0.225,0.245,0.025,0.225,0.0,0.025,0.38167839762915323,0.3778616136528617,524,78.15308264816805,0.1431297709923664,0.15076335877862596,0.007633587786259542,0.1431297709923664,0.0,0.007633587786259542,0.48989299407029635,0.4849940641295934,198.00000000000003,200.0,10.740607687905486
28,5956,12265,200,343.4865743442639,0.075,0.115,0.045,0.075,0.0,0.04,0.3604054305623967,0.35680137625677283,500,69.48367714406308,0.06,0.06,0.0,0.06,0.0,0.0,0.4439783299058339,0.43953854660677566,198.00000000000003,200.0,7.8689376250536425
29,6156,12766,200,351.355484884514,0.08,0.085,0.01,0.08,0.0,0.005,0.412140045220297,0.40801864476809413,501,95.92985505381269,0.1157684630738523,0.17764471057884232,0.07385229540918163,0.1157684630738523,0.005988023952095809,0.0718562874251497,0.5560841367997001,0.5505232954317033,198.00000000000003,200.0,19.340920831044905
30,6356,13342,200,263.29684025627216,0.29,0.29,0.0,0.29,0.0,0.0,0.48132422630336513,0.47651098404033154,576,129.02448594604058,0.0642361111111111,0.1684027777777778,0.10590277777777778,0.0642361111111111,0.008680555555555556,0.10243055555555555,0.693978340400052,0.6870385569960514,198.00000000000003,200.0,16.394772306174282
31,6556,14142,200,276.0691918377683,0.195,0.275,0.08,0.195,0.0,0.075,0.5968731295378387,0.5909043982424603,800,113.46689093010762,0.15875,0.225,0.07125,0.15875,0.0,0.065,0.6302752121794254,0.6239724600576312,198.00000000000003,200.0,14.605187302862383
32,6756,14642,200,303.25811900726836,0.275,0.32,0.045,0.275,0.0,0.045,0.5945750590819511,0.5886293084911316,500,85.06583719071413,0.14,0.152,0.014,0.14,0.0,0.014,0.5072123941428232,0.5021402702013951,198.00000000000003,200.0,12.910317421750642
33,6956,15142,200,327.31202770681085,0.095,0.14,0.05,0.095,0.0,0.04,0.3680513158705331,0.3643708027118278,500,127.51728868669368,0.056,0.18,0.13,0.056,0.004,0.126,0.6832565242664266,0.6764239590237624,198.00000000000003,200.0,15.679703530319625
34,7156,15649,200,347.0116640730396,0.025,0.035,0.01,0.025,0.0,0.01,0.48456803771666573,0.47972235733949914,507,109.57828749484703,0.07495069033530571,0.11439842209072978,0.03944773175542406,0.07495069033530571,0.0,0.03550295857988166,0.6083534689934992,0.6022699343035645,198.00000000000003,200.0,18.230709306115752
35,7356,16149,200,287.4133732179516,0.255,0.28,0.03,0.255,0.0,0.03,0.32162021148538966,0.3184040093705358,500,60.0423277325359,0.092,0.094,0.002,0.092,0.0,0.002,0.39558556852279253,0.3916297128375647,198.00000000000003,200.0,15.302159300307643
36,7556,16649,200,368.24801752601195,0.24,0.29,0.06,0.24,0.0,0.04,0.44505642516711175,0.4406058609154407,500,89.5407167372345,0.108,0.118,0.01,0.108,0.0,0.01,0.5282896876946132,0.523006790817667,198.00000000000003,200.0,17.169922712471394
37,7756,17149,200,331.837672871148,0.16,0.19,0.03,0.16,0.0,0.025,0.4146416518263624,0.4104952353080988,500,45.6879637682782,0.116,0.116,0.0,0.116,0.0,0.0,0.32964781152388856,0.32635133340864975,198.00000000000003,200.0,10.763884750778345
38,7956,17949,200,373.1961961322033,0.075,0.11,0.035,0.075,0.0,0.03,0.4163983803480217,0.4122343965445415,800,93.43445089501881,0.185,0.28,0.10375,0.185,0.0,0.09375,0.5484201152753166,0.5429359141225636,198.00000000000003,200.0,10.355347653218566
39,8156,18749,200,272.81515050123085,0.07,0.16,0.09,0.07,0.0,0.07,0.6157597015030124,0.6096021044879825,800,105.9144498681705,0.21375,0.285,0.08,0.21375,0.0,0.06875,0.5979089759814062,0.5919298862215924,198.00000000000003,200.0,11.025790518721308
40,8356,19396,200,326.7192191095379,0.09,0.15,0.06,0.09,0.0,0.055,0.44424257208257883,0.43980014636175313,647,60.79328074679757,0.24420401854714066,0.24574961360123648,0.0015455950540958269,0.24420401854714066,0.0,0.0015455950540958269,0.41359440106513295,0.4094584570544817,198.00000000000006,200.0,16.618304533680934
